Performance of Query 1

      Clock                     Lru                       Mru 
16  | 42.520, 41.406, 41.406    42.520, 41.797, 41.797    16.142, 15.625, 14.844  
32  | 47.638, 45.312, 45.312    45.669, 45.312, 45.312    18.898, 18.750, 17.578  
48  | 49.606, 50.391, 50.391    46.850, 47.266, 47.266    29.134, 25.781, 24.609  
64  | 55.512, 53.125, 53.125    51.181, 51.562, 51.562    37.008, 39.062, 38.672  
80  | 59.843, 57.812, 58.594    55.512, 53.516, 53.516    45.276, 55.078, 47.656  
96  | 61.417, 83.203, 85.547    65.748, 85.938, 85.938    57.874, 70.312, 67.578  
112 | 65.748, 88.281, 87.500    68.110, 85.938, 85.938    61.811, 76.172, 77.344  
128 | 68.110, 97.656, 99.609    68.110, 96.875, 96.875    68.110, 91.797, 87.891  
144 | 68.110, 99.219, 100.00    68.110, 96.875, 96.875    68.110, 98.047, 94.141  
160 | 68.110, 100.00, 99.609    68.110, 100.00, 100.00    68.110, 100.00, 100.00  
176 | 68.110, 100.00, 100.00    68.110, 100.00, 100.00    68.110, 100.00, 100.00  
192 | 68.110, 100.00, 100.00    68.110, 100.00, 100.00    68.110, 100.00, 100.00  
208 | 68.110, 100.00, 100.00    68.110, 100.00, 100.00    68.110, 100.00, 100.00  
224 | 68.110, 100.00, 100.00    68.110, 100.00, 100.00    68.110, 100.00, 100.00  
240 | 68.110, 100.00, 100.00    68.110, 100.00, 100.00    68.110, 100.00, 100.00  

Performance of Query 2

      Clock                     Lru                       Mru             
16  | 42.614, 42.614, 42.614    42.898, 42.898, 42.898    15.625, 14.489, 15.341  
32  | 46.875, 46.875, 46.875    46.591, 46.591, 46.591    18.466, 18.750, 17.330  
48  | 50.852, 50.568, 50.568    48.011, 48.011, 48.011    26.136, 26.136, 24.148  
64  | 53.409, 53.409, 53.409    50.284, 50.284, 50.284    39.489, 38.068, 39.205  
80  | 70.170, 59.091, 59.375    54.545, 54.545, 54.545    51.136, 50.000, 46.875  
96  | 78.125, 76.989, 76.705    76.136, 76.136, 76.136    65.625, 59.943, 57.955  
112 | 80.682, 78.977, 80.114    76.420, 76.420, 76.420    69.886, 63.920, 64.205  
128 | 80.966, 84.375, 84.375    79.830, 79.830, 79.830    83.523, 83.239, 82.955  
144 | 83.523, 84.375, 92.045    84.091, 84.091, 84.091    88.068, 87.784, 87.500  
160 | 84.091, 84.375, 98.864    91.761, 100.00, 100.00    91.761, 96.023, 96.023  
176 | 91.761, 100.00, 100.00    91.761, 100.00, 100.00    91.761, 100.00, 100.00  
192 | 91.761, 100.00, 100.00    91.761, 100.00, 100.00    91.761, 100.00, 100.00  
208 | 91.761, 100.00, 100.00    91.761, 100.00, 100.00    91.761, 100.00, 100.00  
224 | 91.761, 100.00, 100.00    91.761, 100.00, 100.00    91.761, 100.00, 100.00  
240 | 91.761, 100.00, 100.00    91.761, 100.00, 100.00    91.761, 100.00, 100.00  
